"","gender","race","education","state","age","employment","people_in_each_state","number_in_cell","cell_prop_of_division_total"
"140","Female","Black","Highschool","AL","Age_75+","employed",7413,4,0.000539592607581276
"141","Female","Black","Highschool","AL","Age_75+","unemployed",7413,36,0.00485633346823148
"142","Female","Black","Less than highschool","AL","Age_18-29","employed",7413,1,0.000134898151895319
"143","Female","Black","Less than highschool","AL","Age_18-29","unemployed",7413,2,0.000269796303790638
"144","Female","Black","Less than highschool","AL","Age_30-44","employed",7413,1,0.000134898151895319
"145","Female","Black","Less than highschool","AL","Age_30-44","unemployed",7413,2,0.000269796303790638
"146","Female","Black","Less than highschool","AL","Age_45-59","employed",7413,1,0.000134898151895319
"147","Female","Black","Less than highschool","AL","Age_45-59","unemployed",7413,3,0.000404694455685957
"148","Female","Black","Less than highschool","AL","Age_60-74","employed",7413,1,0.000134898151895319
"149","Female","Black","Less than highschool","AL","Age_60-74","unemployed",7413,10,0.00134898151895319
"150","Female","Black","Less than highschool","AL","Age_75+","unemployed",7413,11,0.00148387967084851
"151","Female","Black","Undergraduates or similar degree","AL","Age_18-29","employed",7413,77,0.0103871576959396
"152","Female","Black","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,27,0.00364225010117361
"153","Female","Black","Undergraduates or similar degree","AL","Age_30-44","employed",7413,74,0.00998246324025361
"154","Female","Black","Undergraduates or similar degree","AL","Age_30-44","unemployed",7413,15,0.00202347227842979
"155","Female","Black","Undergraduates or similar degree","AL","Age_45-59","employed",7413,73,0.00984756508835829
"156","Female","Black","Undergraduates or similar degree","AL","Age_45-59","unemployed",7413,31,0.00418184270875489
"157","Female","Black","Undergraduates or similar degree","AL","Age_60-74","employed",7413,30,0.00404694455685957
"158","Female","Black","Undergraduates or similar degree","AL","Age_60-74","unemployed",7413,54,0.00728450020234723
"159","Female","Black","Undergraduates or similar degree","AL","Age_75+","employed",7413,1,0.000134898151895319
"160","Female","Black","Undergraduates or similar degree","AL","Age_75+","unemployed",7413,25,0.00337245379738298
"161","Female","Others","Graduates or higher degree","AL","Age_18-29","employed",7413,21,0.0028328611898017
"162","Female","Others","Graduates or higher degree","AL","Age_18-29","unemployed",7413,2,0.000269796303790638
"163","Female","Others","Graduates or higher degree","AL","Age_30-44","employed",7413,81,0.0109267503035208
"164","Female","Others","Graduates or higher degree","AL","Age_30-44","unemployed",7413,3,0.000404694455685957
"165","Female","Others","Graduates or higher degree","AL","Age_45-59","employed",7413,68,0.00917307432888169
"166","Female","Others","Graduates or higher degree","AL","Age_45-59","unemployed",7413,17,0.00229326858222042
"167","Female","Others","Graduates or higher degree","AL","Age_60-74","employed",7413,25,0.00337245379738298
"168","Female","Others","Graduates or higher degree","AL","Age_60-74","unemployed",7413,59,0.00795899096182382
"169","Female","Others","Graduates or higher degree","AL","Age_75+","employed",7413,3,0.000404694455685957
"170","Female","Others","Graduates or higher degree","AL","Age_75+","unemployed",7413,23,0.00310265749359234
"171","Female","Others","Highschool","AL","Age_18-29","employed",7413,100,0.0134898151895319
"172","Female","Others","Highschool","AL","Age_18-29","unemployed",7413,74,0.00998246324025361
"173","Female","Others","Highschool","AL","Age_30-44","employed",7413,90,0.0121408336705787
"174","Female","Others","Highschool","AL","Age_30-44","unemployed",7413,58,0.0078240928099285
"175","Female","Others","Highschool","AL","Age_45-59","employed",7413,138,0.018615944961554
"176","Female","Others","Highschool","AL","Age_45-59","unemployed",7413,100,0.0134898151895319
"177","Female","Others","Highschool","AL","Age_60-74","employed",7413,74,0.00998246324025361
"178","Female","Others","Highschool","AL","Age_60-74","unemployed",7413,248,0.0334547416700391
"179","Female","Others","Highschool","AL","Age_75+","employed",7413,7,0.000944287063267233
"180","Female","Others","Highschool","AL","Age_75+","unemployed",7413,231,0.0311614730878187
